模块编号,模块名称,所属系统,模块类型,机制与病理基础,危险信号（升级标准）,护理评估要点,护理措施,复评时间,效果评价,健康教育要点,护理记录模板,SBAR模板,参考依据
1,发热,生命体征与急危识别,生命体征,发热常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉发热相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现发热（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
2,低体温,生命体征与急危识别,生命体征,低体温常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低体温相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低体温（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
3,呼吸困难,生命体征与急危识别,生命体征,呼吸困难常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉呼吸困难相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现呼吸困难（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
4,低氧血症,生命体征与急危识别,生命体征,低氧血症常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低氧血症相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低氧血症（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
5,胸痛,生命体征与急危识别,症状,胸痛常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉胸痛相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现胸痛（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
6,心律失常,生命体征与急危识别,检查异常,心律失常常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉心律失常相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现心律失常（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
7,低血压,生命体征与急危识别,生命体征,低血压常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉低血压相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现低血压（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
8,高血压危象,生命体征与急危识别,生命体征,高血压危象常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉高血压危象相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现高血压危象（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
9,意识障碍,生命体征与急危识别,症状,意识障碍常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉意识障碍相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现意识障碍（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
10,过敏反应,生命体征与急危识别,急危,过敏反应常见原因包括基础疾病、治疗相关因素（如手术/药物/化疗）、摄入与丢失失衡或感染/炎症等；需结合病史与趋势判断。,任一出现需立即升级：生命体征不稳、意识改变、呼吸困难/低氧、持续加重、胸痛/出血、抽搐、尿量明显减少。,生命体征（T/P/R/BP/SpO₂）、症状性质与程度、起病时间与诱因、既往史/用药史、相关体征、检查检验趋势。,安全优先：体位与气道管理；遵医嘱对因/对症；加强监测与记录；处理可逆诱因；必要时通知医生/启动急救流程。,急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。,症状减轻、生命体征稳定或趋于目标范围；无新增不良事件；患者/家属理解并配合。,解释原因与注意事项；告知红旗症状及呼叫铃使用；饮食/活动/用药依从；安全防护（跌倒/感染/压疮）。,主诉：患者诉过敏反应相关不适。评估：T×℃ P×次/分 R×次/分 BP××mmHg SpO₂××%，症状××。处理：已实施监测与对症护理，遵医嘱给予××，完善宣教。复评：急性变化：15–30分钟复评；稳定后：1–4小时复评；按医嘱复查化验/影像。，症状××，生命体征××。,"S：患者出现过敏反应（程度××）。
B：既往××，近期治疗/用药××。
A：生命体征××，相关检查××，评估为××风险。
R：建议/已执行××，请评估是否需调整治疗/进一步检查。",《护理学基础》《内科护理学》《外科护理学》；医院制度/流程；相关指南共识（按需补充）。
